"year","month","trend","lower","upper"
1881,12,-0.00741831504806984,-0.0671598592843078,0.0523232291881681
1882,12,-0.0118924871157279,-0.0713763442951973,0.0475913700637415
1883,12,-0.0170539488868353,-0.0764100593584951,0.0423021615848246
1884,12,-0.0227481514748692,-0.0821967591072375,0.0367004561574992
1885,12,-0.0288205459933078,-0.0884899311765713,0.0308488391899557
1886,12,-0.035116583555628,-0.0949100511712341,0.024676884059978
1887,12,-0.0414919602089414,-0.101146811772512,0.0181628913546292
1888,12,-0.0478433517348923,-0.107261506639402,0.0115748031696174
1889,12,-0.0540776788487593,-0.113384856082097,0.00522949838457804
1890,12,-0.06010186226582,-0.119514682759221,-0.000689041772419331
1891,12,-0.0658228227013532,-0.125466404251379,-0.00617924115132755
1892,12,-0.0711474808706367,-0.130922441269262,-0.011372520472012
1893,12,-0.0760074354218208,-0.135648933965818,-0.0163659368778241
1894,12,-0.0804329967345438,-0.139841391605575,-0.0210246018635123
1895,12,-0.0844791531213162,-0.14377904588306,-0.0251792603595722
1896,12,-0.0882008928946481,-0.147608103140295,-0.0287936826490015
1897,12,-0.0916532043670499,-0.151292281350506,-0.032014127383594
1898,12,-0.094891075851032,-0.154662244408726,-0.0351199072933383
1899,12,-0.0979464654681685,-0.157584628488021,-0.0383083024483158
1900,12,-0.100759210576289,-0.16016458623914,-0.0413538349134383
1901,12,-0.103246118342287,-0.162543249766366,-0.0439489869182079
1902,12,-0.105323995933056,-0.164728690155246,-0.0459193017108669
1903,12,-0.10690965051549,-0.166546461380691,-0.0472728396502893
1904,12,-0.107919889256482,-0.167689045203279,-0.0481507333096845
1905,12,-0.108269293153787,-0.167905696153784,-0.0486328901537902
1906,12,-0.107863538528609,-0.167267411236573,-0.0484596658206441
1907,12,-0.106606075533011,-0.16590196702924,-0.0473101840367829
1908,12,-0.10440035431906,-0.163804070930683,-0.0449966377074378
1909,12,-0.10114982503882,-0.160785908770672,-0.0415137413069687
1910,12,-0.0967579378443563,-0.156526595222259,-0.0369892804664533
1911,12,-0.0911588717842823,-0.150794978142278,-0.0315227654262862
1912,12,-0.0844097214934112,-0.143813473689696,-0.0250059692971261
1913,12,-0.0765983105031051,-0.135894231585349,-0.0173023894208612
1914,12,-0.0678124623447261,-0.127216331385834,-0.00840859330361771
1915,12,-0.0581400005496362,-0.117776332426774,0.00149633132750168
1916,12,-0.0476687486491976,-0.107437725417729,0.0121002281193333
1917,12,-0.03648754751806,-0.096124024038213,0.0231489290020929
1918,12,-0.0246893074040236,-0.0840934621919563,0.034714847383909
1919,12,-0.0123679558981755,-0.0716642947629836,0.0469283829666326
1920,12,0.000382579408396117,-0.05902170728143,0.0597868660982223
1921,12,0.0134683709246041,-0.0461683665688399,0.0731051084180481
1922,12,0.026795491059361,-0.0329738717359499,0.0865648538546719
1923,12,0.0402812860470214,-0.0193555527993311,0.099918124893374
1924,12,0.0538881974237107,-0.00551629237968395,0.113292687227105
1925,12,0.0675899405509963,0.00829329747218194,0.126886583629811
1926,12,0.0813602307904455,0.0219556731345031,0.140764788446388
1927,12,0.0951727835036262,0.0355358088684861,0.154809758138766
1928,12,0.109001314052106,0.0492317465290067,0.168770881575205
1929,12,0.122810368058381,0.0631733543619743,0.182447381754787
1930,12,0.136527812188662,0.0771231752880466,0.195932449089277
1931,12,0.150072343370089,0.0907755791790554,0.209369107561123
1932,12,0.163362658529802,0.103958003801933,0.222767313257671
1933,12,0.17631745459494,0.116680404517184,0.235954504672696
1934,12,0.188855428492644,0.129085804365311,0.248625052619976
1935,12,0.200885213202137,0.141248158938872,0.260522267465402
1936,12,0.212275185910982,0.152870522050701,0.271679849771263
1937,12,0.222883659858827,0.163586880119963,0.282180439597692
1938,12,0.232568948285319,0.17316428729579,0.291973609274849
1939,12,0.241189364430106,0.181552315311309,0.300826413548904
1940,12,0.248603221532834,0.188833603670315,0.308372839395354
1941,12,0.254704972330791,0.195067927933372,0.314342016728209
1942,12,0.259533627551814,0.20012897558395,0.318938279519679
1943,12,0.263164337421382,0.203867570088358,0.322461104754406
1944,12,0.265672252164974,0.206267602657585,0.325076901672363
1945,12,0.267132522008066,0.207495482130776,0.326769561885356
1946,12,0.267620297176137,0.207850685114374,0.327389909237901
1947,12,0.267219537672414,0.207582494463316,0.326856580881513
1948,12,0.266049442611118,0.206644785976054,0.325454099246183
1949,12,0.26423802088422,0.204941241719081,0.323534800049358
1950,12,0.261913281383689,0.202508611510689,0.321317951256688
1951,12,0.259203233001495,0.199566162706751,0.318840303296239
1952,12,0.25623588462961,0.196466230208887,0.316005539050332
1953,12,0.25312890953526,0.193491809550304,0.312766009520217
1954,12,0.249958638486707,0.190553907763773,0.30936336920964
